"station_name","primary_line","train_min","transfers","arrival_station","arrival_walk_min","transit_walk_min","station_to_office_min","lines_used","route_summary","memo"
"お花茶屋","","26","1","大手町(東京都)","1","11","38","京成本線,東京メトロ千代田線","お花茶屋→町屋(京成線)→町屋(東京メトロ)→大手町(東京都)","出口:E1(メトロスクエア)"
"たまプラーザ","","49","0","大手町(東京都)","1","4","54","東急田園都市線準急","たまプラーザ→大手町(東京都)","出口:E1(メトロスクエア)"
"はるひ野","小田急多摩線","51","2","大手町(東京都)","1","8","60","小田急多摩線,小田急多摩線通勤急行,東京メトロ千代田線","はるひ野→栗平→代々木上原→大手町(東京都)","出口:E1(メトロスクエア)"
"ひばりヶ丘","","40","1","大手町(東京都)","2","12","54","西武池袋線急行,東京メトロ丸ノ内線","ひばりケ丘(東京都)→池袋→大手町(東京都)","出口:A1"
"みどり台","","45","3","大手町(東京都)","1","26","72","京成千葉線,ＪＲ総武線,ＪＲ総武線快速,東京メトロ丸ノ内線","みどり台→京成幕張本郷→幕張本郷→津田沼→東京→大手町(東京都)","出口:E1(メトロスクエア)"
"みのり台","","40","1","大手町(東京都)","1","11","52","京成松戸線,ＪＲ常磐線","みのり台→松戸→大手町(東京都)","出口:E1(メトロスクエア)"
"三ツ沢下町","ブルーライン","32","1","東京","10","15","57","横浜市営地下鉄ブルーライン,ＪＲ東海道本線(上野東京ライン)","三ツ沢下町→横浜→東京","出口:丸の内中央口"
"三咲","","47","2","大手町(東京都)","1","24","72","京成松戸線,ＪＲ総武線快速,東京メトロ丸ノ内線","三咲→新津田沼→津田沼→東京→大手町(東京都)","出口:E1(メトロスクエア)"
"上尾","ＪＲ高崎線","46","0","東京","10","3","59","ＪＲ高崎線(上野東京ライン)","上尾→東京","出口:丸の内中央口"
"上本郷","京成松戸線","37","1","大手町(東京都)","1","11","49","京成松戸線,ＪＲ常磐線","上本郷→松戸→大手町(東京都)","出口:E1(メトロスクエア)"
"与野","","34","1","東京","10","7","51","ＪＲ京浜東北・根岸線,ＪＲ宇都宮線(上野東京ライン)","与野→浦和→東京","出口:丸の内中央口"
"中野島","","36","2","大手町(東京都)","1","13","50","ＪＲ南武線,小田急小田原線快速急行,東京メトロ千代田線","中野島→登戸→代々木上原→大手町(東京都)","出口:E1(メトロスクエア)"
"五月台","小田急多摩線","45","2","大手町(東京都)","1","13","59","小田急多摩線,小田急小田原線快速急行,東京メトロ千代田線","五月台→新百合ケ丘→代々木上原→大手町(東京都)","出口:E1(メトロスクエア)"
"京成中山","","38","2","大手町(東京都)","1","15","54","京成本線,京成本線快速特急,東京メトロ半蔵門線","京成中山→京成八幡→押上→大手町(東京都)","出口:E1(メトロスクエア)"
"京成大和田","","44","2","東京","7","21","72","京成本線,京成本線快速特急,ＪＲ総武線快速","京成大和田→八千代台→京成船橋→船橋→東京","出口:1(丸ノ内線)"
"京成小岩","京成本線","29","2","大手町(東京都)","1","15","45","京成本線,京成本線特急,東京メトロ半蔵門線","京成小岩→京成高砂→押上→大手町(東京都)","出口:E1(メトロスクエア)"
"京成幕張","京成千葉線","38","3","大手町(東京都)","1","26","65","京成千葉線,ＪＲ総武線,ＪＲ総武線快速,東京メトロ丸ノ内線","京成幕張→京成幕張本郷→幕張本郷→津田沼→東京→大手町(東京都)","出口:E1(メトロスクエア)"
"京成稲毛","","43","3","大手町(東京都)","1","26","70","京成千葉線,ＪＲ総武線,ＪＲ総武線快速,東京メトロ丸ノ内線","京成稲毛→京成幕張本郷→幕張本郷→津田沼→東京→大手町(東京都)","出口:E1(メトロスクエア)"
"京成高砂","","27","1","大手町(東京都)","1","12","40","京成本線快速特急,東京メトロ半蔵門線","京成高砂→押上→大手町(東京都)","出口:E1(メトロスクエア)"
"京王よみうりランド","","55","2","大手町(東京都)","1","10","66","京王相模原線区間急行,京王新線,東京メトロ半蔵門線準急","京王よみうりランド→笹塚→九段下→大手町(東京都)","出口:E1(メトロスクエア)"
"京王稲田堤","","38","2","大手町(東京都)","1","21","60","ＪＲ南武線,小田急小田原線快速急行,東京メトロ千代田線","京王稲田堤→稲田堤→登戸→代々木上原→大手町(東京都)","出口:E1(メトロスクエア)"
"保谷","西武池袋線","39","2","大手町(東京都)","2","14","55","西武池袋線準急,東京メトロ副都心線通勤急行,東京メトロ丸ノ内線","保谷→小竹向原→池袋→大手町(東京都)","出口:A1"
"八千代中央","東葉高速鉄道","59","0","大手町(東京都)","1","9","69","東葉高速鉄道","八千代中央→大手町(東京都)","出口:E1(メトロスクエア)"
"八千代緑が丘","","56","0","大手町(東京都)","1","9","66","東葉高速鉄道","八千代緑が丘→大手町(東京都)","出口:E1(メトロスクエア)"
